property_type,property_subtype,living_area_m2,bedrooms,bathrooms,postal_code,latitude,longitude,building_year,state_of_the_building,furnished,has_garage,parking_count,kitchen_equipped,has_elevator,facades,floors_total,has_garden,garden_area_m2,has_terrace,total_area_m2,epc_score,region,province,km_from_nearby_city,is_nearby_city_prestigious,floor_number,coord_swapped,urban_density,property_age,living_area_ratio,bedroom_density,average_room_size,living_area_squared,external_area_dominance_index
Apartment,apartment,38.0,1.0,1.0,1090,50.8885746,4.3171957,1975.0,Normal,0,0,,Fully equipped,1,2.0,18.0,0,,1,,D,Brussels,Brussels Capital Region,4.9,0,1.0,False,10480.997862797387,51.0,,0.02631578947368421,38.0,1444.0,
House,residence,221.0,4.0,2.0,6860,49.7994608,5.46778,1976.0,Normal,0,1,1.0,,0,4.0,2.0,1,836.0,1,1321.0,D,Wallonia,Luxembourg,28.2,0,,False,33.7779601961386,50.0,0.16729750189250567,0.01809954751131222,55.25,48841.0,0.8327024981074943
House,residence,100.0,,,4790,50.1966077,6.1376625,1956.0,To renovate,0,0,,,0,,,0,,0,428.0,F,Wallonia,Liège,47.8,0,,False,36.06966504112906,70.0,0.2336448598130841,,,10000.0,0.7663551401869159
House,residence,163.0,3.0,1.0,8420,51.2572364,3.0544152,1996.0,Excellent,0,1,1.0,,0,,,1,,1,840.0,B,Flanders,West Flanders,9.9,0,,False,273.30932594759696,30.0,0.19404761904761905,0.018404907975460124,54.333333333333336,26569.0,0.805952380952381
Apartment,apartment,,1.0,1.0,3720,50.85629,5.387601,2025.0,New,0,0,,,0,,2.0,0,,1,,A+,Flanders,Limburg,9.1,0,1.0,False,,1.0,,,,,
House,residence,121.0,2.0,1.0,4602,50.6873139,5.6731744,1850.0,To renovate,0,1,1.0,Partially equipped,0,2.0,2.0,0,,0,,G,Wallonia,Liège,9.0,0,,False,653.1345541959827,176.0,,0.01652892561983471,60.5,14641.0,
House,residence,120.0,3.0,1.0,4431,50.6592997,5.5406234,1958.0,To renovate,0,1,1.0,,0,2.0,,1,,1,240.0,C,Wallonia,Liège,4.1,0,,False,1246.8761039913948,68.0,0.5,0.025,40.0,14400.0,0.5
Apartment,loft,99.0,,,1080,50.8528157,4.3394294,,To renovate,0,0,,,0,3.0,,0,,0,,,Brussels,Brussels Capital Region,0.9,0,1.0,False,16409.421711093237,,,,,9801.0,
House,chalet,55.0,2.0,1.0,6987,50.2011096,5.5400736,1974.0,,1,0,,,0,3.0,,0,,1,76.0,G,Wallonia,Luxembourg,48.1,0,,False,39.24484583187736,52.0,0.7236842105263158,0.03636363636363636,27.5,3025.0,0.2763157894736842
House,residence,54.0,2.0,1.0,4420,50.6363965,5.5187347,,To renovate,0,0,,,0,3.0,1.0,1,770.0,0,770.0,G,Wallonia,Liège,4.3,0,,False,3550.279363915759,,0.07012987012987013,0.037037037037037035,27.0,2916.0,0.9298701298701298
